ProjectName,Category,Status,Collaborating Organisation,Start,End
Prospective External Validation and Recalibration of the Pharyngscore Using AI-Augmented Mobile Measurement for Transoral Robotic Surgery in a Malaysian Population,Precision Oncology & Digital Oncopathology,In Planning,HUKM; KPJ DSH2; ICGS,"Q4, 2026","Q4, 2026"
Computational Pathology & Digital Histopathology Optimisation for Oncology,Precision Oncology & Digital Oncopathology,In Planning,Lablink; Validitron; ICGS,"Q4, 2026","Q4, 2026"
MyRehab: AI-Enabled Transitional Care Platform for Functional Post-Stroke Recovery,Neuro-Stroke Intelligence & Digital Rehabilitation Companion,Level II Alpha,MOHE GET Pathway,"Q2, 2026","Q4, 2026"
A2AE Hyperacute Stroke AI-Augmented Navigator Platform,Neuro-Stroke Intelligence & Digital Rehabilitation Companion,Level I Alpha,ICGS; Qmed,"Q2, 2026","Q4, 2026"
FHI Convergence Project: Cardiovascular Risk Prediction Using Deep Learning-Derived Pericardial Adipose Tissue,Cardiorespiratory Intelligence,In Discussion,SingTel; NUHS,"Q3, 2026","Q4, 2026"
AI-Enabled Digital Twin for Orthopaedic Post-Care and Diabetic Foot Ulcer Management (SymptomTrace),"Orthopaedic Digital Care, Recovery & Mobility Companion",In Discussion,,"Q3, 2026","Q4, 2026"
NEXUS ONCO-DIGIPATH,Flagship International Collaboration,In Discussion,CDH; Lablink; Validitron,"Q3, 2026","Q4, 2026"
NEXUS CLINICA,Flagship International Collaboration,In Discussion,CDH; Validitron; Qmed,"Q3, 2026","Q4, 2026"
M42 (UAE): AI-Driven Personalised Health Risk Profiling Ecosystem,Flagship International Collaboration,In Discussion,,"Q3, 2026","Q4, 2026"
T-SYSTEMS (SG): Strategic Collaboration on General AI for Healthcare,Flagship International Collaboration,In Discussion,,"Q3, 2026","Q4, 2026"
KPJU ATLAS,Cross-Cutting Platforms,In Progress,,"Q1, 2026","Q4, 2026"
CDH Synapse,Cross-Cutting Platforms,Level I Beta,,"Q1, 2026","Q4, 2026"
CDH AppQlar,"Advanced Research, Accelerator & Experimental Platforms",In Progress,,"Q1, 2026","Q4, 2026"
CDH-PERANTARA Pilot Accelerator,"Advanced Research, Accelerator & Experimental Platforms",In Progress,,"Q1, 2026","Q4, 2026"
FHI Cognitive OS (Perplexity),"Advanced Research, Accelerator & Experimental Platforms",In Planning,,"Q4, 2026","Q4, 2026"
